text,sentiment
America's Nightmare. 🇺🇸😱💤#trumptransitionteam #notmypresident #fucktrump #nohateinwhitehouse…,negative
Donald trump_ melania might be mad after joke about michelle obama speech [video] chf usd exchange rate  Trump prompted the round of ...,negative
"Checked out @user Fuck Donald Trump tour after reading about the riots in Portland, Ore. It's still #FDT.",negative
"With picks of Steve Bannon & Micheal Flynn, @user unpopular win radically alters Obama's post-presidency plans via @user",negative
"Its to be expected from ""electing"" a Fascist Nazi",negative
"Why are Black people doing George Soros evil works, when it is now known he is a Nazi and has admitted it being ""Th…",negative
#Wikileaks Releases Yemen Files: Evidence of Hillary Obama admin funding a Coup that displaced 3.15 million people.…,negative
@user @user @user It took environmentally dangerous fracking within the US borders to get the oil price down so low.,negative
@user #brexit getting critical. get UK out to safety NOW. before the whole EU thing collapses.,negative
"every time i think about melania's speech i die laughing. HELLO. *airhorns*hello, i am proud to be- HELLO. *airhorns-* HELLO.",negative
"Although some vaccines protect our children, they still have potential to b very toxic.",negative
Join me in ridding your house of #methane producing gas We don't need #fracking Seek @user from @user,negative
No one's disputing the impact of the Comey letter & coverage. But the voting irregularities are stark. Audit needed!,negative
Doctors warn Victoria against legalising euthanasia via @user,negative
"""You now what's more destructive than a nuclear bomb?""""Words.""-Kim Jong-unhahaha.",negative
@user @user @user @user @user THAN DISGRACERomney #ReStockSwampBREAK PROMISE #DrainTheSwamp.,negative
Managed-care plans increasingly taking over Medicaid long-term care. Not everyone is happy,negative
I was 'part of a terror organization' says Israeli pilot turned activist via @user #gaza #palestine #israel #BDS,negative
@user @user @user Brandon Dixon will go down as an opportunistic loser,negative
Clinton Foundation Donations take fall After Election  EVEN MOST DEADLY OF DONATORS DO NOT WANT RAMIFICATIONS!,negative
"niggas mad they can't post they lil memes of tony romo on the ground and they lil ""cowboys 8-8"" jokes niggas is MAD.",negative
@user  @user Jeb Dont go out writing OPEDS to absolve yourself. You choose party over country. You are n American as Putin would B,negative
@user I c u decided to clog the swamp instead of draining it?  #draintheswamp #stillwithher #NotMyPresident #TrumpUniversityFraud,negative
"@user @user oh please, like we're not killing people with extrajudicial drone strikes now. Not saying it's right.",negative
"#legalize, #marijuananews Group plans to protest Sen. Jeff Sessions, Trump's AG pick, over anti-marijuana stance",negative
@user @user   what do you think of that racist racist report on immigration. Bloody racist out of touch with islington,negative
"@user is a Mental Simpleton, albeit with a talent for grammatical dribble, that Sucks in Morons #UniteBlue",negative
austrians don't have electoral college,negative
"NOT OVER YET.  If Germans had resisted Hitler's rise to power, millions would not have died. Trump wants $$, not re…",negative
"English has opposed abortion voluntary euthanasia ,physician assisted suicide,civil unions and the decriminalisation of prostitution",negative
Negative?]*does a huge garbage bags bc i like anymore except for PS3 wow. north american persona 5! —,negative
When you make opponents publicly apologize....well #YoureAFacist #MangoMussolini #democrats #CalExit #HumanRights…,negative
"Kate Upton & Justin Verlander: To Hell with Cy Young,  It’s Vatican Time! | TMZ TV",negative
"In his address, ousted #Ukraine president #Yanukovych reminds us that he, like #Putin, is a bald-faced liar with no regard for human life.",negative
@user Pelosi is no longer relevant. They need fresh jihadist blood in the DNC.,negative
"@user @user @user @user @user not that easy given Rudys clients (some are really bad hombres, biz is biz)",negative
This is no time for unity -- Trump must be confronted with relentless protest,negative
"@user can't take you seriously if you're working for minimum wage, no car, and you facing about 6 blunts a day....it's a no for me.",negative
"I think if there is an ""alt-left,"" it's divided by actual Green Party homeopathy/alt medicine people, and contrarian dickheads like this guy",negative
"The carnage in #yemen is hardly being covered in Western media. They're not what's known as ""worthy victims""",negative
@user Actually code for Nazi.,negative
The US (most) and rest of free thinking world have regrets over DJT being pres elect. What you said on @user is wrong @user,negative
@user @user @user Way Romney talked about  98% that does not have wealth like him will turn into a nightmare for People,negative
@user Tony Romo is not worth a pick lower than fourth,negative
Sore Loser Dems Already Demanding Govt Investigation into Trump Transition Team on Fox news 11/25/16: via,negative
The talent pool is slim for #Filmmaking in #Hollywood. Too many re-makes #BeautyAndTheBeast and #MaryPoppins,negative
I think people are forgetting that HRC is STILL under investigation for Clinton Foundation. This is a seperate issu…,negative
@user maybe of you would have done the Galaxy Note 6 and not skip from 5 to 7 we wouldn't have these problems not I have get iphone🤔😒,negative
"@user Verlander or Sales... no one who is on current roster, unfortunately.",negative
"#Hezbollah, #Russian terrorists in direct meeting #Syria #Lebanon",negative
"#occupiedpalestineisburning but the IOF & co will blame palestinians for the fires..meanwhile, rightists will claim that#IsraelIsBurning",negative
"@user Clinton Foundation MUST be investigated & SHUT DOWN. It is corrupt to the core! Its use of term ""charity"" is travesty!",negative
@user for al the crying you do about how middle America is left out-they have twice as much voting power,negative
@user What yr was this?What ifACjust had this1meeting?ACpromotes Holodomor.Don't think a KT would do that:,negative
@user @user As well as seeing black activists criticise the word's appropriation I've seen leftists & lib use it on each other,negative
Deliverancing:  Trump's deplorables squealing like pigs when they realize he screwed them too #UsefulNewVerbs,negative
@user Name one foreign policy success of the Obama admin?It has been appalling.,negative
@user @user And everybody wondered what kind of rabbit hole we were going down in legalizing gay marriage.,negative
@user Dont be a paul ryan puppetNO....TO PRIVATIZING MEDICARE,negative
@user Medicaid is the main cause of ER overcrowding. Medicaid patients are 8x more likely to go to the ER for non-emergencies.,negative
"@user But your rfugly, dwarven, MuMu-wearing, pot-bellied, man-child dictator is Kim Fatty the Third.…",negative
someone: mentions pentagonme: (melania trump voice) Hello.,negative
Nazi: Fuck Marcism! Heil Trump!Me: Learn to spell Nazi.Liberal: OMG! HE COULD BE DYSLEXIC YOU MEANIE!,negative
Why Trump's Appointment of Steve Bannon Has Raised So Many Alarms #news,negative
How can you #draintheswamp if you keep inviting swamp creatures into your administration? @user,negative
@user @user @user Plez fight Putin!,negative
This is what may be happening in the USA if Trump continues down the road his transition seems to be taking,negative
@user You've celebrated people that commit Medicaid fraud.,negative
520 years? lol why not just death penalty his ass,negative
"@user And that doesn't include #Comey, voter suppression & intimidation if they can all be investigated. It was gross fraud.",negative
"#Putin: EU Keeps Trying to '""Teach"" Us #Democracy, But Bans Aren't the Way#EU fears #truth #Sputnik",negative
How The Booming Fake News Biz Proves That Liberals Are Just Smarter Than Conservatives,negative
I have no fucking idea how David Blaine does the shiiiiit he does! 😮,negative
.@DailyMailUK front page | Swear oath to live in Britain (@jackwdoyle @user & Ian Drury)…,negative
@user @user Bollocks .... then there's Ian Brady & Myra Hindley. Some bad hombres from that city. See what I did there?,negative
Donnie is gonna deport the Menendez Brothers right away. BAD HOMBRES!,negative
@user - Are you sure that's not a Anti-Trump protest?,negative
"My uncle's twitter feed is full of ""George Soros is funding anti-Trump riots"" posts. #tytlive",negative
TERRIBLE NEWS! WE NEED TO PRAY FOR MELANIA TRUMP BECAUSE …,negative
Saakashvili resigned his post in Odessa hoping his 'pal' The Don would back his ambition in Ukraine; Putin put The Don right on that one LOL,negative
No Animal Testing - Ever!,negative
"@user @user further irony, Florida was one of GOP led states that refused money from govt to expand medicaid.",negative
We mustn't allow fears over immigration to make us lose 'a common sense of what it is to be British' - The… #uk #fb,negative
@user Melania plagiarized a speech by Michelle Obama. Donald will plagiarized one by Hitler.,negative
@user reports #UK becoming more divided with increase immigration! Quelle surpirise! You listening #Liberals? #multicultruralism disaster,negative
"Look for yourself. NDP MLA compared a Gov Minister to one of the most disgusting men in human history, Joseph Goebb…",negative
"Bernie Sanders may be a white supremacist, dudes. Has he been a crypto-Nazi all these years?https://t.co/JW44QX3GuD",negative
"Dumping As Islamic State is chased out of Syria and Iraq, will Afghanistan be the dumping ground? #Isis",negative
So sad they're separated. Let's hope  they get back together and so will only make each other miserable,negative
@user shuld LEGIT b ashamed yes #Hatchimals R THE TOY of the season it seems but they are only 50$ jacking it up…,negative
Eyewitnesses Testify: Pope Francis Raped and Killed Children; Sealed Vatican Documents Expose Their Satanic Rituals,negative
"@user So the fact that your grandparents where anti-fascists makes your ""lugenpresse""-husband less of a nazi? Amazing logic",negative
She totally Melania'd that speech #UsefulNewVerbs,negative
remembers that persona 5 was delayed AGAIN and enters great depression,negative
@user Electric Vehicles must be promoted to Curb pollution in the country & support for fossil fuels vehicles must be stopped..,negative
#China is censoring #people calling #NorthKorea's #leader '#Kim Fatty the Third' ||,negative
@user @user Gotta love experts on Putin style.,negative
"@user From what I understand it was a play by #Cameron to quell the growing Rightists in the country, it backfired so badly that",negative
"Beppe Grillo ""A lesson for all: you can not lie to the people forever without suffering consequences""https://t.co/Z1O93m5zJ1",negative
@user watching CNN for shits&gigs..they're now calling Trump supporters Alt-rightists& comparing us to Nazi's😂😂😂,negative
"@user @user @user @user @user Shame on you DixonRacist, sexist hypocriteShame on you",negative
Why are oral vaccines less common than injected vaccines even if it can induce both systemic and mucosal immunities?,negative
#Oldpost Samsung Officially Axes Galaxy Note 7 Following 'Fire' Incidents,negative
If Putin wanted to intervene all he would have had to do is donate to the Clinton Foundation. Not hack computers &…,negative
@user Deport Michael Moore. He is a traitor and is inciting revolt and an overthrow of our government.,negative
@user @user Liberals never do anything that makes sense. Why start now?,negative
@user @user @user @user ☞ ISIS Films Men Laughing While Woman Is Raped in Background,negative
"Good riddance to #FidelCastro, now can that SOB Nicolas Maduro be the next to go?",negative
List of people I'd love to punch in the mouth:1. Grayson Allen2. Josh Norman3. Josh Norman again,negative
@user @user @user you have a lot of hate in your heart 4someone claiming to be Christian. There is no need to be nasty.,negative
"The dems will be lost in the wilderness for decades, with these nut jobs in power!",negative
@user @user @user yes they are being labelled as such by SOME commentatirs as I said and by many of far-rightists.,negative
"No More Anti-American Politicians who speak with ""FORKED Toung"" ... Romney is part of the Swamp hurting America…",negative
"Some of you view the #Obama legacy through rose-colored glasses. You're ignoring the drone strikes, corporate elitism and war profiteering.",negative
"@user although it'd be extra nice is Maduro (president of Venezuela, where i live) could be included in that pack with Fidel",negative
"@user ""yeah he launchs drone strikes that kill innocents & sell weapons to Saudi Arabia & hasn't spoken against the dapl but he's funny""",negative
Big Oil's Isadore Hall was in DC last week pretending to be the new congressman-- even asking Pelosi to let him vot…,negative
Anyone else ends up ending their career and possibly in jail. But well connected leftists are given a pass.,negative
@user @user @user @user So why are you trying to ban gay marriage and not trying to ban divorce?,negative
But I'm a bum right ? I wont be shit right ? Ill be working my minimum wage jobs til I die right ? FOH . 😇🖕🏻,negative
Is North Dakota fracking out of control? ✋ #energy #oil #fracking,negative
"@user ""As conservatives, we also care about your sexuality though"".",negative
That meeting with pelosi Shumer and others dems..including Hillary and.. ( Jill Stein),negative
"@user @user @user HELL NO! the lying bastard won't. ryan, pence, tRump disgusting maggots",negative
@user My neighbor-a Trump voter-is now all upset about Soc Sec & Medicaid benefits for her deaf& disabled son. Umm...Duh,negative
@user HRC lost the Electoral collegeShe also lost 30/50 state popular votesIOW - she didn't win either. EC or popular vote,negative
@user BBC News always reporting about negative immigration never promotes harmony or justice just division.,negative
"@user those damn left libertarians, remember when they divided public opinion on obama using drone strikes and mass survei-wait.huh.",negative
"It was to teach security, Stupid leftists, pray tell if they ever sell ""international"" on ebay, friggen  lib morons.",negative
@user @user @user nazi Sweeney 🇧🇪,negative
@user @user & to this day every convo w/ Berner you have to redefine 'voter suppression' before we can continue.,negative
#DrainTheSwamp has translated to stocking the swamp with a kleptocrat's cronies.#DumpTrump #NotMyPresident,negative
"the gop has spent the last 8 years blocking every possible move the obama admin could make, watering down laws for special interests(ie ACA)",negative
Kim Jong-un is wearing a muumuu and trying to pull a tiny muppet across a desk for some reason.,negative
Breitbart fuckwit Steve Bannon has that manky look of a man who spent his formative years masturbating inside a rancid wheely bin.,negative
"@user @user not sure where you get all of that from. And even of some of those were true, that makes it okay to send hateful tweets",negative
"Even the #NYTimes is admitting ,via Krugman's nonsense, that Trump is why TPP is dead. #DemExit #NotMeUs #RealLeftNow #ThirdParty #Greens",negative
@user & the WALL Trump wants to build? I researched. It would take $45+ billion to build his 1900 mile wall on Mexican border....,negative
"@user I am taking notice,of all Democratic Party elected officials, who r not fighting 4 USA as @user 2 replace 4 fighters",negative
almost every hour we find out how dirty comey was and rudy and the dirty agents they knew abount putin and did nothing  and fake emails,negative
"@user @user I am willing to hear pro death penalty opinions, but at this point the DP is inneffective due to decades of appeals",negative
Sharon needles is doing Melania trump n the crowd is chanting CULEERAA,negative
seriously tho I'm glad arrested development happened to me but this plot to build a wall on the Mexican border is tripping me tf out????,negative
@user @user #TRUMPTRANSITIONTEAM ALL WITH HISTORY OF ANTISEMITISM AND SUCH...,negative
@user Problem is that George Soros does actually have to turn out to be the Bigger Bad at the end of the manga for the Shocking Swerve,negative
Half of South African workers earn less than the proposed R3500/month national minimum wage,negative
Trump admitted he's gonna screw the world except his friends. They're gonna screw everyone including the deplorable…,negative
Funny Leftys are wringing hands over Trump's transition timetable. If Hillary had won her team would be trying to awaken her from nap time.,negative
.@segsig @user @user BULLSHIT. There is no difference between #Fatah and #Hamas.,negative
I've interacted with liberals that are woke af until they start arguing that drone strikes are actually good for feminism.. or something.,negative
@user @user @user @user @user @user @user @user @user gay marriage then this....,negative
Bill Clinton reacts to Melania Trump’s bullying speech,negative
Recent EU behaviour 1: Convulsive and prolonged grief for tyrant and mass murderer Fidel Castro.,negative
@user DNC lodged complaint against John Husted in OH for voter suppression. Thousands of absentee ballots never reached voters.,negative
@user @user I read one for Medicaid expansion and it almost made my eyes bleed I swear.,negative
Leftists would rather start a civil war than accept a fair election result.  What a bunch of children. #AuditTheVote #StealTheVote #Recount,negative
"With James Comey in office, how could the US investigate the Russians? @user @user @user  @user",negative
And Ben Carson hates it too.,negative
@user @user Do you know that Repubs were protesting Obamacare by telling govt to stay out of their Medicare/Medicaid?,negative
"I Mean HELLO?! Administering Broke vaccines daily (Side effects may include insomnia, euphoria…",negative
Facebook has banned modeling pictures of Melania Knauss Trump,negative
It's been a week and no one has created a meme of @user @user #NBAwards acceptance speech?  I…,negative
The Anti-Trump Riots are a Smoke Screen,negative
"@user Not really. The electoral college is an anachronism, created for a reality that doesn't exist anymore. Should be changed.",negative
Saakashvili hijacking the Rukh brand will leave a bad taste among many. Rukh was the original early 1990s independe…,negative
Yes we can all believe it's not butter! They are making self driving cars. Who the fuck is still impressed with imitation butter?,negative
.@SpeakerRyan never thought a pot of money he didn't want to raidTrump says okThere goes another campaign promisehttps://t.co/VSsYSQTUL8,negative
Starting to think Ben Carson didn't really bow out. They just didn't want him any longer or he couldn't stomach them. #trumptransitionteam,negative
@user its a 3 to 4 page paper on Why or why not should the United States build a bigger wall along the Mexican Border? Apa format,negative
@user you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan,negative
"You say change the world yet cling to the past whether it be white supremacy, reliance on fossil fuels, or the fact…",negative
Trump is not draining the swamp. His cabinet appointees are swamp dwellers.,negative
In case someone is not aware of Steve #Bannon's mental issues...,negative
Against no team has Luis Enrique lost more games as a manager than against Real Sociedad #fcblive [opta],negative
@user If alt-right means racial supremacists then I disavow and condemn them as well. They're no better than BLM scum.,negative
"I'm far from being a Trump fan,but this is just stupid.",negative
Pelosi should go no matter,negative
Firstpost: Venezuela’s Maduro calls nephews’ drug conviction ‘U.S. imperialism’ | Reuters…,negative
"@user #SYRIA Why should the good people of East #ALEPPO leave their homes under an Assad Regime ""Kneel or Starve"" campaign ?",negative
You should name your chins bad hombres. There your worst enemy right? There are bad hombres out there under my chin…,negative
vaccines kill!!fuck all of you dupes and whores ofinept corrupt psychopathic vaccine industry,negative
cc @user Just a note about one troll.,negative
one thing I learned this past week:social media is woke to how detrimental white supremacists are to the growth of America,negative
Sen. Warren wants investigation of Trump's transition team Pocahontas pussy lies as much as that crotch Hillary!,negative
@user it's gotta be Grayson Allen. Has Redick hateability and makes goofy schyer-face.,negative
@user any updates on that income tax audit or was that all a lie? #BlackFriday #StillWithHer #Thanksgiving #AuditTheElection,negative
Apparently now Chomsky is not pure enough for the leftists.,negative
Here's some @user data on the partisan divide separating Dem and Rep views of Putin and Russia's role in the…,negative
Canada now has its own #ClintonCash problem with #JustinTrudeau - We need to #DrainTheSwamp up here badly #MCGA 🇨🇦🐊❌,negative
"if you're upset about trump taking that phone call, you're gonna be absolutely livid when you find out about obama's drone strikes",negative
"Hopefully, #Trump will designate #BlackLivesMatter as a terrorist organization and law enforcement can end #BLM's reign of terror.",negative
"@user @user Theyre taught liberals are non believers ; abortion is cool, being gay is a fad, non of us work, we expect gov money.",negative
"""Non-partisan"" tax-exempt anti-Clinton group paid far-right crusader Steve Bannon $99k/year salary, broke tax rules",negative
@user @user @user America was saved. Wake the hell up. You want 2M refugees? Global gov?TPP?Learn the facts goto college,negative
"If he looked any shade of brown skin he would have been. These ""Deplorables"" are really starting to come out ofthe…",negative
"Mooreder When Michael Moore picks up your cause, then wrecks you. ""He so called out the DNC! It was mooreder I tells ya!"" #UsefulNewVerbs",negative
Abortion really brings out the kid in you.,negative
"2016: YEAR OF DEATHIt continues..Jimmy Perry  (86)Leonard Cohen  (82)And now.. Fidel Castro  (99)Dear God, when will it end..",negative
@user Being gay isn't a choice!!!!! A panel of gays including Anderson Cooper and Ricky Martin decide your fate,negative
@user No! It's about the shit false equivalency coverage by media and Comey. Media systematic character diso…,negative
"Justin Verlander and Miguel Cabrera are the big names, but trading Ian Kinsler could hurt the #Tigers the most.…",negative
"@user Those ""Tony Romo"" socks, that's a no go. Package them up, send them to Skip Bayless.",negative
SOROS MUST GO DOWN HE OWNS PROGRESSIVE INSURANCE. IF YOU HAVE IT GET RID OF IT. THIS IS HOW HE FUNDS ANTI TRUMP RIO…,negative
"@user @user 😂😂 GO ON IDIOT! UR PARTY IS DEAD B/C U JUST KEEP ON HATING! AMERICA IS FED UP W UR, RA…",negative
"#Khamenei #Hezbollah #IRGC able to Get #Shia all in Harmony to Assault #Sunni people & Lands, a type of #Devil Warlord",negative
Why has #Cameron come out of the shadows now ?He's left the country up a creak & no paddle #PoliticalWally 👎🤓✔https://t.co/dvYaRG9HKW,negative
@user True. But there's a question that still needs to be answered: What if autism causes vaccines?,negative
Steve Bannon Should Stay out of White House: Attorneys,negative
"Mass immigration to Britain has changed it beyond recognition and turned communities into ghettos, reveals damning …",negative
"@user @user Mass is already behind Corbyn, but he continues to appease the Blairites.The rightists must be kicked out.",negative
"@user @user ....then don't just simply brand everyone and anyone who disagrees with you as a ""hater"" in a generalization !",negative
"@user Your progressive POS rag is as irrelevant as Michael Moore, one of your early editors.",negative
Dems feel they have been cheated out of the dead and illegal votes after many states switch to ppr ballots to avoid…,negative
#humanrights #UnitedNations #USA #DemDebate #GOP why sending Americans 2 be killed on foreign lands;who2protect vets,negative
"@user And once again, whiny rich white liberals with their parent's credit cards are out money.And today was…",negative
"Animal testing is cruel, unnecessary, and inhumane.#StopAnimalTests",negative
@user @user @user wonder how they would feel if Kim Jong-un was the one helping Trump? i.e. Not a white guy,negative
@user   Obama transferred CENSUS Bureau to be under under White House control WHY ?REDISTRICTING? Happen early in his Admin Pls club,negative
@user they paid for it out of every paycheck. The wealthy's elderly give everything to their families then claim Social Security.,negative
"I guess Gary didn't donate to the Dems so he wasn't a candidate for the Presidential Medal of Honor,&he helps the t…",negative
WAIT! COME BACK! NOOOO! [burp] - Mike Pence as,negative
"RT @user This weekend, Neo-Nazi Richard Spencer (who coined the term ""alt-right"") led the crowd at his conference in DC in a ""Heil Trump…",negative
Retweeted CaptainsLog2016 (@CaptainsLog2016):Voter Suppression/FraudFake NewsRussian HackersFBI Witch...,negative
"@user We dont hav Obamacare but this piece was 👌🏼. I wish DT cud keep ins 4 all, but ⬆️competition so we're not the ones paying for it!",negative
"@user #0bumas Anti American Muslim phoney incites cop killing,Riots- CIVIL WAR.Goal martial law 2 stop @user BECOMING 45 POTUSMAGA",negative
"@user US Main Stream Media is controlled by corporate interests, their propaganda machine, avoids covering MOST ""worthy"" news. #Yemen",negative
"@user my congressman, the despicable Tim Ryan is challenging Pelosi for minority leader. He's being called a sexist for it 😂😂",negative
@user we pulled out of the middle East and now we're fracking in America.,negative
BOOM: Mass immigration has turned some UK towns into ghettos: Bombshell Report,negative
Man I'm so mad I knew it was Taylor the green meanie I was just hoping I was wrong 😭😭 #ScreamQueens,negative
roast dinners r so shit but vegetarianism makes it worse veggie gravy genuinely tastes like asshole,negative
Is this the best George soros could come up lots of love,negative
Bad hombres. Grab them by the pussy. Who's gonna pay the wall? Nasty Woman.  👀,negative
@user @user Your kidding right? Contribute the most? Like gay marriage Trans bathrooms PC Obama Hillary no thanks!,negative
@user @user steve bannon is not any worse than hilary clinton .trump cant be worse than the democrat,negative
This is #Gaza under #Hamas rule - discrimination against #ChristiansWhere are the #FreeGaza protests?@codepink…,negative
I'm mixed on Dylann Roof. I am happy to see he's not getting gentle treatment as so many supremacists are. But I hate death penalty. Yay/Boo,negative
how Bob Dylan hoodwinked an entire generation into thinking his voice was tolerable.,negative
"NO, it does not. Popular vote does not count doofus. @user @user",negative
"Breaking: President elect Trump will not name Chavis as Sec. of Defense, says he lets too many ""bad hombres through""",negative
@user News from the US The statues of liberty has left the country in protest against Trump.,negative
@user Get rid of steve bannon the Racist. !,negative
#Trump Owns Stock In Pipeline Project At Center Of #StandingRock Protest #NoDAPL #NativeAmericans,negative
"GOP will take all the savings from destroying Medicare, Social Security, ACA, and put it into tax cuts for rich, military and corp. welfare",negative
@user the reality is that anyone who made a big splash in their teens & is now not in a 20-something or eligible for social security,negative
